arm,file,t_rel_s,mc_all,emc_hz
retain,retain_L6011_b0_meas_reload.json,-2.001,227745,204000000
retain,retain_L6011_b0_meas_reload.json,-1.702,189789,204000000
retain,retain_L6011_b0_meas_reload.json,-1.442,158515,204000000
retain,retain_L6011_b0_meas_reload.json,-1.182,132941,204000000
retain,retain_L6011_b0_meas_reload.json,-0.923,112035,204000000
retain,retain_L6011_b0_meas_reload.json,-0.664,94936,204000000
retain,retain_L6011_b0_meas_reload.json,-0.404,81201,204000000
retain,retain_L6011_b0_meas_reload.json,-0.145,69792,204000000
retain,retain_L6011_b0_meas_reload.json,0.115,157019,204000000
retain,retain_L6011_b0_meas_reload.json,0.375,577518,204000000
retain,retain_L6011_b0_meas_reload.json,0.636,883308,204000000
retain,retain_L6011_b0_meas_reload.json,0.898,1185149,204000000
retain,retain_L6011_b0_meas_reload.json,1.159,1420574,204000000
retain,retain_L6011_b0_meas_reload.json,1.419,1611871,204000000
retain,retain_L6011_b0_meas_reload.json,1.68,1767770,204000000
retain,retain_L6011_b0_meas_reload.json,1.941,1895275,204000000
retain,retain_L6011_b0_meas_reload.json,2.202,1998767,204000000
retain,retain_L6011_b0_meas_reload.json,2.462,2082953,204000000
retain,retain_L6011_b0_meas_reload.json,2.723,2151748,204000000
retain,retain_L6011_b0_meas_reload.json,2.984,2207269,204000000
retain,retain_L6011_b0_meas_reload.json,3.245,2252116,204000000
retain,retain_L6011_b0_meas_reload.json,3.506,2287306,204000000
retain,retain_L6011_b0_meas_reload.json,3.766,2316096,204000000
retain,retain_L6011_b0_meas_reload.json,4.027,2339421,204000000
retain,retain_L6011_b0_meas_reload.json,4.288,1920916,204000000
retain,retain_L6011_b0_meas_reload.json,4.547,1569788,204000000
retain,retain_L6011_b0_meas_reload.json,4.807,1283524,204000000
retain,retain_L6011_b0_meas_reload.json,5.066,1050218,204000000
retain,retain_L6011_b0_meas_reload.json,5.325,860063,204000000
retain,retain_L6011_b0_meas_reload.json,5.584,705683,204000000
retain,retain_L6011_b0_meas_reload.json,5.843,579390,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,-2.002,187922,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,-1.703,157358,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,-1.443,132117,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,-1.183,111493,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,-0.924,94736,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,-0.664,81354,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,-0.405,70111,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,-0.145,60881,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,0.114,155962,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,0.375,576582,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,0.636,835307,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,0.896,682306,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,1.156,557617,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,1.416,455918,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,1.675,373008,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,1.935,305431,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,2.195,250903,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,2.455,205988,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,2.715,169278,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,2.974,139348,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,3.234,115046,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,3.493,95226,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,3.753,79062,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,4.012,67701,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,4.273,57768,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,4.533,48617,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,4.793,41220,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,5.053,35019,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,5.312,30447,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,5.572,26320,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,5.832,22926,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,6.091,20274,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,6.351,18098,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,6.61,16282,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,6.87,14849,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,7.13,13802,204000000
host_h2d_direct,host_h2d_direct_L6011_b0_meas_reload.json,7.389,13072,204000000
