# joules_window_j: integrated rails power (VDD_GPU_SOC+VDD_CPU_CV+VIN_SYS_5V0 V*I, rails_temps @~1Hz, piecewise-linear p(t)) over t0..t1 per cell; paired-block 95% bootstrap CI; None/empty where unbracketed or gapped.
arm,length,phase,mean_joules,lo_j,hi_j,n,mean_window_s,mean_power_w,files
retain,2048,reload,155.811454,155.201045,156.41586,5,3.94455,39.500377,5
retain,4096,reload,158.435924,158.138519,158.770273,5,3.979887,39.809183,5
retain,6011,reload,160.513036,159.917895,160.950275,5,4.012201,40.00617,5
host_d2h,2048,reload,155.86872,155.653542,156.096711,5,3.941617,39.544403,5
host_d2h,4096,reload,158.231055,157.859579,158.601776,5,3.97847,39.77192,5
host_d2h,6011,reload,160.820106,160.617641,161.01181,5,4.010927,40.095504,5
recompute,2048,recompute,181.741534,181.182561,182.339114,5,4.262357,42.63872,5
recompute,4096,recompute,205.651049,205.509104,205.8043,5,4.714251,43.623273,5
recompute,6011,recompute,237.034324,236.794209,237.390629,5,5.167125,45.873545,5
host_h2d_direct,2048,reload,228.171185,223.868167,231.550804,5,8.868062,25.728281,5
host_h2d_direct,4096,reload,304.961026,298.611809,309.362242,5,13.818137,22.076138,5
host_h2d_direct,6011,reload,371.33753,364.730688,376.284461,5,18.546563,20.024266,5
host_h2d_direct,2048,spill,293.634893,291.90834,295.192419,5,10.514015,27.93824,5
host_h2d_direct,2048,fill0,262.627848,256.574361,269.060545,5,9.214426,28.502722,5
host_h2d_direct,4096,spill,376.097732,374.658845,376.953333,5,15.623045,24.079696,5
host_h2d_direct,4096,fill0,342.032565,335.488313,348.967481,5,14.344931,23.847162,5
host_h2d_direct,6011,spill,472.183848,465.918162,475.521426,5,20.245797,23.328229,5
host_h2d_direct,6011,fill0,439.966149,433.702788,446.323178,5,19.02471,23.129327,5
