arm,length,phase,mean_dip_mb,lo_mb,hi_mb,n,mean_baseline_mb,files
retain,2048,reload,4.285219,1.808789,6.972969,5,18327.194594,5
retain,4096,reload,3.329836,1.928797,5.338648,5,18324.320461,5
retain,6011,reload,3.380711,2.197453,4.522125,5,18322.91743,5
host_d2h,2048,reload,4.865188,3.668523,6.061852,5,17645.451125,5
host_d2h,4096,reload,4.813898,3.580023,6.039164,5,17653.467023,5
host_d2h,6011,reload,3.305852,1.744695,4.962148,5,17646.133977,5
recompute,2048,recompute,5.047641,1.329625,9.017414,5,18153.175766,5
recompute,4096,recompute,8.003258,3.721102,14.047555,5,18149.013414,5
recompute,6011,recompute,5.154375,3.767297,6.151281,5,18152.448906,5
host_h2d_direct,2048,reload,6.638906,3.393117,11.846273,5,17538.140469,5
host_h2d_direct,4096,reload,3.845969,2.694469,4.997469,5,17533.567844,5
host_h2d_direct,6011,reload,7.415055,3.762711,10.992383,5,17530.988492,5
host_h2d_direct,2048,spill,7.474414,3.771758,11.825508,5,17545.693164,5
host_h2d_direct,2048,fill0,5.057281,3.147883,6.840789,5,17539.002594,5
host_h2d_direct,4096,spill,6.97375,3.012156,11.987016,5,17537.760469,5
host_h2d_direct,4096,fill0,6.265344,4.426352,7.782687,5,17536.520031,5
host_h2d_direct,6011,spill,9.447031,6.796617,12.097445,5,17538.618906,5
host_h2d_direct,6011,fill0,6.448945,3.941547,8.54025,5,17534.915352,5
