source,arm,length,tokens,mean_ttft_s,lo_s,hi_s,n,cached_note
matrix,retain,2048,2053,0.120018,0.116622,0.123817,5,device-hit
matrix,retain,4096,4105,0.147786,0.145826,0.149574,5,device-hit
matrix,retain,6011,6011,0.147831,0.145345,0.149354,5,device-hit
matrix,host_d2h,2048,2053,0.11738,0.115237,0.120764,5,device-hit
matrix,host_d2h,4096,4105,0.146687,0.14501,0.149157,5,device-hit
matrix,host_d2h,6011,6011,0.146799,0.145511,0.14883,5,device-hit
matrix,recompute,2048,2053,0.468691,0.468056,0.469783,5,cold
matrix,recompute,4096,4105,0.912032,0.91073,0.91323,5,cold
matrix,recompute,6011,6011,1.33177,1.331302,1.332319,5,cold
matrix,host_h2d_direct,2048,2053,5.043159,4.896692,5.149409,5,host-hit-direct
matrix,host_h2d_direct,4096,4105,9.986902,9.572377,10.229897,5,host-hit-direct
matrix,host_h2d_direct,6011,6011,14.682331,14.254862,14.962365,5,host-hit-direct
sweepA_rep0,retain-spill-cold,2048,2048,0.4212271800497547,,,1,cold-noload
sweepA_rep0,retain-resume,2048,2048,0.09536825504619628,,,1,device-hit-noload
sweepA_rep0,recompute,2048,2048,0.41957173706032336,,,1,cold-noload
sweepA_rep1,retain-spill-cold,2048,2048,0.419335828977637,,,1,cold-noload
sweepA_rep1,retain-resume,2048,2048,0.09597402601502836,,,1,device-hit-noload
sweepA_rep1,recompute,2048,2048,0.4184209310915321,,,1,cold-noload
sweepA_rep0,retain-spill-cold,4096,4096,0.8446410819888115,,,1,cold-noload
sweepA_rep0,retain-resume,4096,4096,0.09603535896167159,,,1,device-hit-noload
sweepA_rep0,recompute,4096,4096,0.8415670939721167,,,1,cold-noload
sweepA_rep1,retain-spill-cold,4096,4096,0.84423088200856,,,1,cold-noload
sweepA_rep1,retain-resume,4096,4096,0.09641696896869689,,,1,device-hit-noload
sweepA_rep1,recompute,4096,4096,0.8406647390220314,,,1,cold-noload
sweepA_rep0,retain-spill-cold,6011,6011,1.2663701029960066,,,1,cold-noload
sweepA_rep0,retain-resume,6011,6011,0.10611500905361027,,,1,device-hit-noload
sweepA_rep0,recompute,6011,6011,1.2642194509971887,,,1,cold-noload
sweepA_rep1,retain-spill-cold,6011,6011,1.2657354190014303,,,1,cold-noload
sweepA_rep1,retain-resume,6011,6011,0.10521169297862798,,,1,device-hit-noload
sweepA_rep1,recompute,6011,6011,1.2656225559767336,,,1,cold-noload
